id|memberevent_id|tag_id
602|398|432
603|398|1067
696|438|1084
697|439|433
606|417|1050
607|417|717
608|400|1017
609|400|425
610|398|1071
611|414|1115
612|403|1115
613|396|717
614|396|1042
615|405|1017
616|399|1042
617|407|1029
618|407|1071
619|408|440
620|408|1060
621|413|1029
622|413|1071
623|416|1057
624|416|1042
625|416|1055
626|419|432
627|419|1071
628|420|432
629|421|425
630|421|429
699|439|1071
635|423|1017
636|423|425
637|423|726
638|424|1017
639|424|425
640|424|429
641|424|726
642|425|1017
643|425|425
644|425|1063
645|426|1017
646|426|425
647|426|1063
651|427|1063
656|145|1073
657|145|433
658|145|1133
659|145|1071
660|427|1073
661|427|433
662|427|1071
666|429|1073
667|429|433
668|429|1063
669|429|1071
670|158|1081
671|158|1050
672|158|1042
673|430|425
674|430|1017
675|430|1139
676|431|1017
677|431|425
678|431|429
679|432|1071
700|439|1142
701|440|433
1935|889|71357
703|440|1071
704|440|1158
705|441|1161
706|441|433
707|441|1071
708|442|433
709|442|1226
710|442|1071
711|443|1113
712|443|475
713|443|431
714|444|1084
715|445|1057
716|445|1059
717|445|419
718|445|1020
719|445|431
720|445|433
721|445|1042
722|445|434
723|445|1117
724|445|438
725|445|1080
726|445|1081
727|445|1084
728|445|1085
729|446|1009
730|447|1060
731|447|1063
732|447|1033
733|447|425
734|447|429
735|447|1071
736|447|1009
737|447|1075
738|447|1084
1936|889|1071
1939|893|1257
741|449|774
742|450|1073
743|450|1258
744|450|1259
1942|897|1257
1945|900|1257
1946|901|1257
1949|904|1257
1952|908|71357
1953|908|1254
1956|910|71357
1957|910|1254
753|459|431
1960|912|1042
1961|912|71139
1962|912|1115
1963|912|71357
2807|1159|433
759|465|425
760|466|1009
2808|1159|1067
2809|1159|9052
763|460|71120
2813|1161|71408
765|453|71120
766|456|71120
2814|1161|1071
768|465|1009
769|459|1009
770|463|1009
771|460|1009
772|462|1009
773|461|1009
774|464|1009
2817|1163|504
776|454|726
777|460|726
778|465|726
779|459|726
780|463|726
2823|1165|71139
782|453|726
783|456|726
784|451|726
785|455|726
786|457|726
787|466|726
788|462|726
789|461|726
790|464|726
2824|1165|1256
2825|1165|1257
2826|1165|425
2827|1165|429
2828|1165|1009
2829|1165|71357
2830|1165|71423
2839|1167|71139
799|462|501
800|462|534
801|461|511
2840|1167|71357
2841|1167|1256
804|460|487
2842|1167|1257
2843|1167|425
2844|1167|429
2845|1167|1009
2846|1167|71421
2854|1169|1009
811|465|503
812|459|533
813|463|71190
2855|1169|71139
2856|1169|71421
2857|1169|1256
2858|1169|425
2859|1169|71357
2860|1169|429
2869|1171|71418
821|453|513
822|453|487
823|453|493
824|453|1200
825|453|499
826|453|501
827|453|71189
828|456|501
829|456|534
830|456|487
831|455|1156
832|455|533
833|455|487
2870|1171|71139
2871|1171|71357
2872|1171|71390
842|457|506
843|457|503
844|457|487
851|259|1254
852|473|433
853|474|425
855|476|1256
856|476|425
857|476|1259
858|476|1254
859|477|1254
860|477|425
861|477|726
862|478|425
863|478|1259
864|478|1254
865|479|425
866|479|1259
867|479|726
868|480|425
869|480|1259
870|480|1254
871|480|71139
872|481|425
873|481|1259
874|481|726
876|482|1254
877|482|1255
878|482|1256
879|482|1257
880|482|1259
881|482|726
882|483|488
883|483|1042
884|483|1043
885|483|1080
886|483|1081
887|483|1021
888|484|195
889|484|1255
893|485|1254
894|486|195
895|486|726
896|486|1255
897|475|1254
898|475|726
899|487|157
900|487|726
901|487|1255
902|484|726
903|488|195
904|488|726
905|488|1255
906|489|1254
907|489|726
908|490|1254
1937|891|1257
910|452|1218
911|452|486
912|491|1254
913|492|1254
963|514|1081
964|514|1042
965|514|1067
917|494|440
918|494|1113
966|514|476
920|495|1254
921|496|1254
