id|name|id|number_of_seats|available_at_datetime
34|Hakkasan Hanway Place|34|2|2018-06-18 12:30:00+00:00
7807|Café 103|7807|2|2018-06-18 07:30:00+00:00
132|Sushisamba Liverpool Street|132|4|2018-07-09 19:00:00+00:00
89|Yauatcha - Soho|89|4|2018-07-02 19:30:00+00:00
132|Sushisamba Liverpool Street|132|4|2018-06-13 19:00:00+00:00
7770|Ying Jee Club|7770|2|2018-06-26 10:00:00+00:00
4521|Tin Lung Heen|4521|2|2018-06-19 04:00:00+00:00
4518|Tosca|4518|2|2018-06-19 11:00:00+00:00
7807|Café 103|7807|2|2018-06-19 11:00:00+00:00
7807|Café 103|7807|2|2018-06-20 11:00:00+00:00
4521|Tin Lung Heen|4521|2|2018-06-20 11:00:00+00:00
2399|Café Gray Deluxe|2399|2|2018-06-21 07:30:00+00:00
2399|Café Gray Deluxe|2399|2|2018-06-21 10:00:00+00:00
7807|Café 103|7807|2|2018-06-21 11:00:00+00:00
4521|Tin Lung Heen|4521|2|2018-06-25 04:00:00+00:00
4518|Tosca|4518|2|2018-06-25 04:00:00+00:00
7807|Café 103|7807|2|2018-06-25 07:30:00+00:00
764|Mei Ume|764|4|2018-06-25 19:30:00+00:00
4518|Tosca|4518|2|2018-06-26 04:00:00+00:00
2399|Café Gray Deluxe|2399|2|2018-06-26 07:30:00+00:00
2399|Café Gray Deluxe|2399|2|2018-06-26 10:00:00+00:00
4521|Tin Lung Heen|4521|2|2018-06-26 11:00:00+00:00
7807|Café 103|7807|2|2018-06-26 11:00:00+00:00
7807|Café 103|7807|2|2018-06-27 11:00:00+00:00
7770|Ying Jee Club|7770|2|2018-06-28 10:00:00+00:00
6798|T'ang Court|6798|2|2018-06-28 13:00:00+00:00
4521|Tin Lung Heen|4521|2|2018-06-28 04:00:00+00:00
4518|Tosca|4518|2|2018-06-28 04:00:00+00:00
7807|Café 103|7807|2|2018-06-28 11:00:00+00:00
2399|Café Gray Deluxe|2399|2|2018-06-29 07:30:00+00:00
2399|Café Gray Deluxe|2399|2|2018-06-29 10:00:00+00:00
4518|Tosca|4518|2|2018-06-29 11:00:00+00:00
7770|Ying Jee Club|7770|2|2018-06-30 10:00:00+00:00
6798|T'ang Court|6798|2|2018-06-30 13:00:00+00:00
132|Sushisamba Liverpool Street|132|4|2018-07-02 19:00:00+00:00
34|Hakkasan Hanway Place|34|2|2018-07-09 19:00:00+00:00
35|Hakkasan Mayfair|35|4|2019-01-07 20:30:00+00:00
8564|The Loyal|8564|2|2019-10-03 00:15:00+00:00
89|Yauatcha - Soho|89|2|2019-01-10 19:30:00+00:00
105|Duck & Waffle|105|2|2019-01-19 20:00:00+00:00
440|City Social|440|4|2019-01-29 19:15:00+00:00
7770|Ying Jee Club|7770|2|2018-12-23 10:00:00+00:00
4518|Tosca|4518|2|2018-12-29 04:00:00+00:00
490|Marcus Wareing's Tredwell's|490|2|2018-06-26 12:00:00+00:00
35|Hakkasan Mayfair|35|2|2018-06-21 19:30:00+00:00
712|Coya Angel Court|712|2|2018-07-11 19:30:00+00:00
35|Hakkasan Mayfair|35|4|2019-01-08 20:30:00+00:00
106|Sake no Hana|106|4|2019-01-09 19:30:00+00:00
