id|name|geoname_id|ivector_connect_geo_level_id|ivector_connect_id|ivector_connect_unique_code
8ef5451e-33f7-4563-a879-f57f7f7378cf|Tỉnh Tuyên Quang|1559976|||
c8d12f55-bf34-4f5c-80b3-93061791f450|Forest Row||||LPC8A0
b67a8c94-5cb7-457a-9103-5e9e6859b001|Khouèng Oudômxai|1654491|||
35131801-24ed-473b-a851-4a1224b0c274|Bombas||3||N7JWGE
5dd3d5bc-6295-44f8-82e3-e561522fcc0d|Falcon Ridge Ski Slopes||2||
bdd51ba1-6243-4126-aeef-463bba3b54e0|Pool|2255404|||
10e15616-fb19-41e2-93e5-02e5501f472b|Isparta|311071|||
0bd08feb-cf50-4703-9aa6-0299756b7b2e|Kowloon Tong||3||20QLUW
9a2273d8-555f-496e-9319-0e8011c135b5|Pinheiros||3||YOJTS4
56532838-01cd-4d06-ae38-09ff935c0142|Ar Rawabi||3||M02JH7
8ba66188-c73d-4bb7-83b3-6ed4a5592863|Bridgeland||3||4EGEY5
44773f5c-729e-438f-863e-6b66b9521550|L'Auvergne||3||TR7480
e1f64e0f-dff2-4632-b4d4-d2df17e986a4|Niger State|2328925|||
aadbd340-c6ba-4980-befb-8d5dbd46dadb|Delmas||3||1492HK
2ef46574-71ec-4c84-8b45-1eae6aaf6a12|Northern Louisiana||2||
a4de2fae-687a-4619-8d90-77ef4f225623|Parana Country Club||3||8FXLA6
e6be0b75-8889-4d06-ad5f-a2006b6360c2|Asessippi Provincial Park||2||
a79b85cc-9bf6-408a-a8ad-396dd5de3891|Gorgol|2379384|||
9a9679dd-7153-49d8-9859-dfcff1bccc25|Gorenja Vas-Poljane|3239095|||
a6e54896-71cf-4868-8650-d4b0fc437abc|Bolton Hill||3||2XL7EE
476ac7a5-b6d4-4d29-86ca-4e26da51610e|Victoria West||3||YOB8FF
3fc3c83d-efc6-488a-ba40-db4fd52cae09|Northern Division|2199295|||
21e9b3ba-4e63-4104-b59e-78cc7f9a8ea6|Likiep Atoll|7303504|||
0695bfd9-b2cd-4161-91e2-12cf50205eb6|Grand Boulevard||3||JFL0MO
5428caab-a4a2-4f14-84b6-a68ec7884745|Zadar Old Town||3||PJLGYQ
6939d83f-8cd7-4fc4-9b78-a5e602fd9f6e|Centro||3||95DEUV
7071bf2c-5db0-46e2-90af-57db655e6825|Adıyaman|325329|||
1b8f0272-a6a9-4eed-88c7-35ea96f36ce9|Buada District|2110440|||
a3a4e7ab-e49b-4fa7-88f5-e65a85c1e48d|Central Africa|7729886|||
4b1c2083-c17a-4d66-aeef-b0f1ee148a78|Sham Shui Po|7533611|||
93fb5c97-40a6-45b0-b53a-32dc27cbbbfb|Pedra de Guaratiba||3||HYM9OW
0c27dcd6-1d4f-4b27-b50b-bf2248a72f9d|Oblast Vidin|864562|||
a4d0bdc8-bc0f-4f55-814f-b6e4e72a33fa|Salta Province|3838231|||
14b3548d-67e4-4b10-9709-8f99b8325855|Westhoven||3||Q4IFWN
cd9c8b9e-90ab-4de7-b130-e655e8fe5aa5|Great Basin||2||
09328830-ebff-47cb-a69b-a1d1178914c2|White Station||3||J9TNHI
